nodes before, nodes after, tw_before, tw_after
13, 14, 4, 4
13, 14, 4, 3
13, 14, 3, 2
14, 15, 5, 4
14, 16, 4, 3
14, 16, 5, 3
13, 14, 4, 4
14, 15, 5, 4
9, 9, 2, 2
10, 10, 2, 2
41, 50, 20, 13
30, 36, 12, 8
29, 35, 12, 8
18, 21, 6, 5
37, 46, 17, 10
27, 32, 11, 7
14, 15, 3, 3
16, 20, 7, 4
