nodes before, nodes after, tw_before, tw_after
15, 16, 4, 3
15, 17, 4, 3
15, 17, 4, 3
16, 18, 4, 3
16, 16, 4, 4
16, 17, 4, 4
16, 18, 5, 3
17, 19, 5, 4
10, 11, 3, 2
12, 13, 4, 3
36, 42, 15, 11
