nodes before, nodes after, tw_before, tw_after
11, 11, 4, 4
11, 13, 5, 3
11, 11, 3, 3
11, 12, 4, 3
11, 12, 3, 2
11, 12, 2, 2
7, 7, 2, 2
7, 7, 3, 3
7, 7, 2, 2
8, 8, 2, 2
8, 8, 2, 2
8, 9, 3, 2
32, 40, 14, 9
32, 41, 15, 9
32, 39, 15, 10
11, 11, 4, 4
12, 13, 4, 3
7, 7, 2, 2
8, 8, 2, 2
34, 43, 16, 10
41, 49, 21, 15
7, 7, 2, 2
14, 16, 6, 4
35, 44, 16, 10
25, 30, 11, 8
43, 54, 23, 13
24, 28, 9, 7
15, 16, 5, 5
31, 38, 14, 10
