nodes before, nodes after, tw_before, tw_after
18, 20, 5, 4
18, 21, 6, 4
18, 21, 6, 5
20, 23, 6, 5
20, 22, 7, 6
20, 24, 6, 4
19, 22, 5, 4
20, 23, 6, 5
13, 13, 3, 3
15, 17, 3, 2
26, 30, 8, 6
38, 46, 15, 10
20, 23, 6, 4
24, 27, 7, 5
